date,variable,seriesNo,value
2023-01-01,Finance & Insurance,1.7,9.5
2023-01-01,Financial Services,1.7.1,9.5
2023-01-01,Banks,1.7.1.1,36.8
2023-01-01,Holding Companies,1.7.1.2,8.6
2023-01-01,Other Financial Services,1.7.1.3,14.2
2023-01-01,Insurance Services,1.7.2,11.3
2023-01-01,Real Estate,1.8,1.9
2023-01-01,Professional And Administrative & Support Services,1.9,6.9
2023-01-01,Others,1.10,28.8
2024-01-01,Total,1,12.7
2024-01-01,Manufacturing,1.1,21.2
2024-01-01,"Food, Beverages & Tobacco",1.1.1,11.5
2024-01-01,"Paper, Paper Products & Printing",1.1.2,-4.1
2024-01-01,Refined Petroleum Products,1.1.3,24.8
2024-01-01,Chemical & Chemical Products,1.1.4,4.8
2024-01-01,Pharmaceutical & Biological Products,1.1.5,0.8
2024-01-01,Rubber & Plastic Products,1.1.6,13.4
2024-01-01,Basic Metals,1.1.7,7.7
2024-01-01,Fabricated Metal Products,1.1.8,7.4
2024-01-01,Machinery & Equipment,1.1.9,14.4
2024-01-01,Electrical Machinery & Apparatus,1.1.10,14.7
2024-01-01,"Computer, Electronic And Optical Products",1.1.11,33.9
2024-01-01,Semiconductor Devices,1.1.11.1,29.2
2024-01-01,Computers & Peripheral Equipment,1.1.11.2,299.2
2024-01-01,"Instrumentation, Photographic & Optical Goods",1.1.11.3,3.0
2024-01-01,Other Electronics Nec,1.1.11.4,23.3
2024-01-01,Transport Equipment,1.1.12,27.3
2024-01-01,Construction,1.2,3.0
2024-01-01,Wholesale & Retail Trade,1.3,23.6
2024-01-01,Wholesale Trade,1.3.1,23.7
2024-01-01,Retail Trade,1.3.2,10.7
2024-01-01,Accommodation & Food Services,1.4,5.1
2024-01-01,Transportation & Storage,1.5,26.7
2024-01-01,Water Transport & Supporting Services,1.5.1,27.6
2024-01-01,Freight Water Transport,1.5.1.1,27.3
2024-01-01,Other Water Transport Nec,1.5.1.2,36.1
2024-01-01,"Warehousing, Post & Courier Services",1.5.3,12.5
2024-01-01,Information & Communications,1.6,6.4
2024-01-01,Finance & Insurance,1.7,8.7
2024-01-01,Financial Services,1.7.1,8.6
2024-01-01,Banks,1.7.1.1,50.0
2024-01-01,Holding Companies,1.7.1.2,8.0
2024-01-01,Other Financial Services,1.7.1.3,8.9
2024-01-01,Insurance Services,1.7.2,14.4
2024-01-01,Real Estate,1.8,6.0
2024-01-01,Professional And Administrative & Support Services,1.9,12.9
2024-01-01,Others,1.10,16.4
