date,variable,seriesNo,value
2020-12-01,Oil,1.1,11025735.7
2020-12-01,Non-Oil,1.2,72370407.2
2020-12-01,"Total Merchandise Imports, (At Current Prices)",2,38747787.7
2020-12-01,Oil,2.1,5768007.4
2020-12-01,Non-Oil,2.2,32979780.3
2020-12-01,"Total Merchandise Exports, (At Current Prices)",3,44648355.2
2020-12-01,Oil,3.1,5257728.3
2020-12-01,Non-Oil,3.2,39390626.9
2020-12-01,"Total Domestic Exports, (At Current Prices)",4,19662318.5
2020-12-01,Oil,4.1,4928914.5
2020-12-01,Non-Oil,4.2,14733404.0
2020-12-01,"Total Re-Exports, (At Current Prices)",5,24986036.7
2020-12-01,Oil,5.1,328813.8
2020-12-01,Non-Oil,5.2,24657222.9
2021-01-01,"Total Merchandise Trade, (At Current Prices)",1,86107572.1
2021-01-01,Oil,1.1,11719548.2
2021-01-01,Non-Oil,1.2,74388023.9
2021-01-01,"Total Merchandise Imports, (At Current Prices)",2,40446860.1
2021-01-01,Oil,2.1,6370022.3
2021-01-01,Non-Oil,2.2,34076837.8
2021-01-01,"Total Merchandise Exports, (At Current Prices)",3,45660712.0
2021-01-01,Oil,3.1,5349525.8
2021-01-01,Non-Oil,3.2,40311186.2
2021-01-01,"Total Domestic Exports, (At Current Prices)",4,20326582.9
2021-01-01,Oil,4.1,5243858.2
2021-01-01,Non-Oil,4.2,15082724.7
2021-01-01,"Total Re-Exports, (At Current Prices)",5,25334129.2
2021-01-01,Oil,5.1,105667.7
2021-01-01,Non-Oil,5.2,25228461.5
2021-02-01,"Total Merchandise Trade, (At Current Prices)",1,91158104.4
2021-02-01,Oil,1.1,12548915.1
2021-02-01,Non-Oil,1.2,78609189.3
2021-02-01,"Total Merchandise Imports, (At Current Prices)",2,43024601.6
2021-02-01,Oil,2.1,6747740.8
2021-02-01,Non-Oil,2.2,36276860.9
2021-02-01,"Total Merchandise Exports, (At Current Prices)",3,48133502.8
2021-02-01,Oil,3.1,5801174.3
2021-02-01,Non-Oil,3.2,42332328.5
2021-02-01,"Total Domestic Exports, (At Current Prices)",4,21670539.5
2021-02-01,Oil,4.1,5573136.2
2021-02-01,Non-Oil,4.2,16097403.3
2021-02-01,"Total Re-Exports, (At Current Prices)",5,26462963.3
2021-02-01,Oil,5.1,228038.2
2021-02-01,Non-Oil,5.2,26234925.2
2021-03-01,"Total Merchandise Trade, (At Current Prices)",1,96392798.0
2021-03-01,Oil,1.1,15676243.0
2021-03-01,Non-Oil,1.2,80716555.1
2021-03-01,"Total Merchandise Imports, (At Current Prices)",2,44376603.5
2021-03-01,Oil,2.1,8170578.4
2021-03-01,Non-Oil,2.2,36206025.1
2021-03-01,"Total Merchandise Exports, (At Current Prices)",3,52016194.5
2021-03-01,Oil,3.1,7505664.6
2021-03-01,Non-Oil,3.2,44510529.9
2021-03-01,"Total Domestic Exports, (At Current Prices)",4,23373459.2
2021-03-01,Oil,4.1,7155731.8
2021-03-01,Non-Oil,4.2,16217727.4
2021-03-01,"Total Re-Exports, (At Current Prices)",5,28642735.3
2021-03-01,Oil,5.1,349932.8
2021-03-01,Non-Oil,5.2,28292802.5
2021-04-01,"Total Merchandise Trade, (At Current Prices)",1,94620532.6
2021-04-01,Oil,1.1,15441873.5
2021-04-01,Non-Oil,1.2,79178659.1
2021-04-01,"Total Merchandise Imports, (At Current Prices)",2,44530524.2
2021-04-01,Oil,2.1,8576265.3
2021-04-01,Non-Oil,2.2,35954259.0
2021-04-01,"Total Merchandise Exports, (At Current Prices)",3,50090008.3
2021-04-01,Oil,3.1,6865608.2
2021-04-01,Non-Oil,3.2,43224400.1
2021-04-01,"Total Domestic Exports, (At Current Prices)",4,22192000.1
2021-04-01,Oil,4.1,6662301.5
2021-04-01,Non-Oil,4.2,15529698.7
2021-04-01,"Total Re-Exports, (At Current Prices)",5,27898008.2
2021-04-01,Oil,5.1,203306.8
2021-04-01,Non-Oil,5.2,27694701.4
2021-05-01,"Total Merchandise Trade, (At Current Prices)",1,94301115.3
2021-05-01,Oil,1.1,14417707.7
2021-05-01,Non-Oil,1.2,79883407.6
2021-05-01,"Total Merchandise Imports, (At Current Prices)",2,43411422.3
2021-05-01,Oil,2.1,7373790.5
2021-05-01,Non-Oil,2.2,36037631.7
2021-05-01,"Total Merchandise Exports, (At Current Prices)",3,50889693.0
2021-05-01,Oil,3.1,7043917.1
2021-05-01,Non-Oil,3.2,43845775.9
2021-05-01,"Total Domestic Exports, (At Current Prices)",4,22591154.4
2021-05-01,Oil,4.1,6913255.8
2021-05-01,Non-Oil,4.2,15677898.6
2021-05-01,"Total Re-Exports, (At Current Prices)",5,28298538.6
2021-05-01,Oil,5.1,130661.4
2021-05-01,Non-Oil,5.2,28167877.2
2021-06-01,"Total Merchandise Trade, (At Current Prices)",1,93752680.3
2021-06-01,Oil,1.1,16110353.0
2021-06-01,Non-Oil,1.2,77642327.3
2021-06-01,"Total Merchandise Imports, (At Current Prices)",2,44716138.8
2021-06-01,Oil,2.1,8682810.4
2021-06-01,Non-Oil,2.2,36033328.4
2021-06-01,"Total Merchandise Exports, (At Current Prices)",3,49036541.5
2021-06-01,Oil,3.1,7427542.6
2021-06-01,Non-Oil,3.2,41608998.9
2021-06-01,"Total Domestic Exports, (At Current Prices)",4,23342615.1
