date,variable,seriesNo,value
2019-04-01,Household Durables & Services,1.04,94.341
2019-04-01,Furniture & Furnishings,1.04.1,92.043
2019-04-01,Household Textiles,1.04.2,100.137
2019-04-01,Household Appliances,1.04.3,96.857
2019-04-01,"Glassware, Tableware & Household Utensils",1.04.4,97.873
2019-04-01,Tools & Equipment For House & Garden,1.04.5,85.221
2019-04-01,Household Services & Supplies,1.04.6,94.149
2019-04-01,Health,1.05,90.638
2019-04-01,Medicines & Health Products,1.05.1,98.307
2019-04-01,Outpatient Care Services,1.05.2,92.21
2019-04-01,Inpatient Care Services,1.05.3,86.576
2019-04-01,Other Health Services,1.05.4,86.054
2019-04-01,Health Insurance,1.05.5,85.777
2019-04-01,Transport,1.06,75.128
2019-04-01,Private Transport,1.06.1,71.871
2019-04-01,Land Transport Services,1.06.2,80.58
2019-04-01,Other Transport Services,1.06.3,94.444
2019-04-01,Transport Services Of Goods,1.06.4,90.979
2019-04-01,Information & Communication,1.07,98.497
2019-04-01,Information & Communication Equipment,1.07.1,105.213
2019-04-01,Software Excl Games,1.07.2,103.031
2019-04-01,Information & Communication Services,1.07.3,97.303
2019-04-01,"Recreation, Sport & Culture",1.08,87.494
2019-04-01,Recreation & Cultural Goods,1.08.1,97.532
2019-04-01,Other Recreational Goods,1.08.2,101.297
2019-04-01,Garden Products & Pets,1.08.3,86.12
2019-04-01,Recreational Services,1.08.4,82.921
2019-04-01,Cultural Services,1.08.5,88.127
2019-04-01,"Newspapers, Books & Stationery",1.08.6,96.335
2019-04-01,Holiday Expenses,1.08.7,87.118
2019-04-01,Education,1.09,91.435
2019-04-01,"General, Vocational & Higher Education",1.09.1,96.337
2019-04-01,Private Tuition & Other Educational Courses,1.09.2,81.165
2019-04-01,School Textbooks & Study Guides,1.09.3,95.727
2019-04-01,Miscellaneous Goods & Services,1.10,96.209
2019-04-01,Personal Care,1.10.1,94.878
2019-04-01,Alcoholic Beverages & Tobacco,1.10.2,88.479
2019-04-01,Other Personal Effects,1.10.3,101.202
2019-04-01,Social Services,1.10.4,105.862
2019-04-01,Other Miscellaneous Services,1.10.5,103.628
2019-04-01,Food & Beverage Serving Services,1.11,83.778
2019-04-01,"Restaurants, Cafes & Pubs",1.11.1,83.919
2019-04-01,Fast Food Restaurants,1.11.2,82.389
2019-04-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.679
2019-04-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.723
2019-04-01,All Items Less Accommodation,2,85.71
2019-04-01,All Items Less Imputed Rentals For Housing,3,85.944
2019-05-01,All Items,1,86.079
2019-05-01,Food,1.0,84.152
2019-05-01,Food Excl Food & Beverage Serving Services,1.01,85.017
2019-05-01,Rice & Cereal Products,1.01.1,84.231
2019-05-01,Meat,1.01.2,79.963
2019-05-01,Fish & Other Seafood,1.01.3,91.927
2019-05-01,"Milk, Other Dairy Products & Eggs",1.01.4,84.293
2019-05-01,Oils & Fats,1.01.5,85.882
2019-05-01,Fruits & Nuts,1.01.6,87.655
2019-05-01,Vegetables,1.01.7,83.565
2019-05-01,"Sugar, Confectionery & Desserts",1.01.8,88.234
2019-05-01,Ready-Made Food & Other Food Products Nec,1.01.9,86.518
2019-05-01,Non-Alcoholic Beverages,1.01.10,82.748
2019-05-01,Clothing & Footwear,1.02,104.366
2019-05-01,Clothing,1.02.1,104.599
2019-05-01,Footwear,1.02.2,102.067
2019-05-01,Housing & Utilities,1.03,87.135
2019-05-01,Accommodation,1.03.1,87.314
2019-05-01,Utilities & Other Fuels,1.03.2,84.362
2019-05-01,Household Durables & Services,1.04,94.155
2019-05-01,Furniture & Furnishings,1.04.1,92.043
2019-05-01,Household Textiles,1.04.2,98.883
